phi,coronal,sagittal
0.627857,0.670428,0.795926
0.628571,0.68065,0.785307
0.629286,0.686386,0.782353
0.63,0.763363,0.735658
0.630714,0.669705,0.800648
0.631429,0.680355,0.789556
0.632143,0.686347,0.786462
0.632857,0.766393,0.738622
0.633571,0.669165,0.80553
0.634286,0.680277,0.793916
0.635,0.686543,0.790655
0.635714,0.769872,0.74157
0.636429,0.668796,0.810519
0.637143,0.680375,0.798345
0.637857,0.686904,0.794895
0.638571,0.773595,0.744461
0.639286,0.668518,0.815577
0.64,0.680561,0.802798
0.640714,0.68734,0.799136
0.641429,0.777328,0.747386
0.642143,0.668213,0.820809
0.642857,0.680771,0.807291
0.643571,0.687805,0.803365
0.644286,0.781027,0.750344
0.645,0.667846,0.826203
0.645714,0.680974,0.81181
0.646429,0.688275,0.807564
0.647143,0.784713,0.753238
0.647857,0.667448,0.831585
0.648571,0.681147,0.816279
0.649286,0.687963,0.81502
0.65,0.698023,0.809139
0.650714,0.796147,0.75132
0.651429,0.682232,0.831637
0.652143,0.697906,0.81394
0.652857,0.801656,0.749659
0.653571,0.677206,0.837234
0.654286,0.692859,0.815763
0.655,0.798763,0.749377
0.655714,0.669566,0.837084
0.656429,0.68452,0.815317
0.657143,0.628101,0.966861
0.657857,0.653771,0.884532
0.658571,0.668368,0.835079
0.659286,0.68068,0.792859
0.66,0.68351,0.771296
0.660714,0.772031,0.69956
0.661429,0.650054,0.78601
0.662143,0.659347,0.762796
0.662857,0.731671,0.704382
0.663571,0.642349,0.769372
0.664286,0.651013,0.753457
0.665,0.655434,0.746162
0.665714,0.658091,0.743024
0.666429,0.660206,0.741665
0.667143,0.663413,0.738014
0.667857,0.666357,0.734582
0.668571,0.668286,0.733128
0.669286,0.669725,0.732331
0.67,0.711051,0.706861
0.670714,0.657137,0.746758
0.671429,0.664152,0.736745
0.672143,0.667761,0.732668
0.672857,0.6699,0.73099
0.673571,0.671471,0.73013
0.674286,0.672736,0.72956
0.675,0.71309,0.704396
0.675714,0.660103,0.743498
0.676429,0.666676,0.733468
0.677143,0.669815,0.729232
0.677857,0.671456,0.727321
